RID,Date,TOC,EUS Scheduled Departure Time,EUS Actual Departure Time,EUS LC Reason,WFJ Scheduled Departure Time,WFJ Actual Departure Time,WFJ LC Reason,MKC Scheduled Departure Time,MKC Actual Departure Time,MKC LC Reason,RUG Scheduled Departure Time,RUG Actual Departure Time,RUG LC Reason,NUN Scheduled Departure Time,NUN Actual Departure Time,NUN LC Reason,TAM Scheduled Departure Time,TAM Actual Departure Time,TAM LC Reason,LTV Scheduled Departure Time,LTV Actual Departure Time,LTV LC Reason,STA Scheduled Departure Time,STA Actual Departure Time,STA LC Reason,CRE Scheduled Departure Time,CRE Actual Departure Time,CRE LC Reason,RUN Scheduled Departure Time,RUN Actual Departure Time,RUN LC Reason,LIV Scheduled Arrival Time,LIV Actual Arrival Time,LIV LC Reason
201507000000000.0,2015-07-01,VT,2015-07-01 07:07:00,2015-07-01 07:06:00,,,,,,,,,,,,,,,,,,,,2015-07-01 08:23:00,2015-07-01 08:31:00,,2015-07-01 08:43:00,2015-07-01 08:52:00,,2015-07-01 09:00:00,2015-07-01 09:10:00,,2015-07-01 09:21:00,2015-07-01 09:26:00,
201507000000000.0,2015-07-01,VT,2015-07-01 08:07:00,2015-07-01 08:07:00,169.0,,,,2015-07-01 08:38:00,2015-07-01 08:40:00,169.0,,,,,,,,,,,,,2015-07-01 09:27:00,2015-07-01 09:28:00,169.0,,,,2015-07-01 10:00:00,2015-07-01 10:15:00,169.0,2015-07-01 10:21:00,2015-07-01 10:34:00,169.0
201507000000000.0,2015-07-01,VT,2015-07-01 09:07:00,2015-07-01 09:07:00,,,,,,,,,,,,,,,,,,,,2015-07-01 10:23:00,2015-07-01 10:41:00,,2015-07-01 10:43:00,2015-07-01 11:09:00,,2015-07-01 11:00:00,2015-07-01 11:30:00,,2015-07-01 11:21:00,2015-07-01 11:46:00,
201507000000000.0,2015-07-01,VT,2015-07-01 10:07:00,2015-07-01 10:06:00,,,,,,,,,,,,,,,,,,,,2015-07-01 11:23:00,2015-07-01 11:24:00,,2015-07-01 11:43:00,2015-07-01 11:43:00,,2015-07-01 12:00:00,2015-07-01 12:03:00,,2015-07-01 12:21:00,2015-07-01 12:21:00,
201507000000000.0,2015-07-01,VT,2015-07-01 11:07:00,2015-07-01 11:07:00,,,,,,,,,,,,,,,,,,,,2015-07-01 12:23:00,2015-07-01 12:24:00,,2015-07-01 12:43:00,2015-07-01 12:43:00,,2015-07-01 13:00:00,2015-07-01 13:00:00,,2015-07-01 13:21:00,2015-07-01 13:19:00,
201507000000000.0,2015-07-01,VT,2015-07-01 12:07:00,2015-07-01 12:07:00,179.0,,,,,,,,,,,,,,,,,,,2015-07-01 13:23:00,2015-07-01 13:39:00,179.0,2015-07-01 13:43:00,2015-07-01 14:00:00,179.0,2015-07-01 14:00:00,2015-07-01 14:17:00,179.0,2015-07-01 14:21:00,2015-07-01 14:34:00,179.0
201507000000000.0,2015-07-01,VT,2015-07-01 13:07:00,2015-07-01 13:07:00,,,,,,,,,,,,,,,,,,,,2015-07-01 14:23:00,2015-07-01 14:22:00,,2015-07-01 14:43:00,2015-07-01 14:45:00,,2015-07-01 15:00:00,2015-07-01 15:06:00,,2015-07-01 15:21:00,2015-07-01 15:21:00,
201507000000000.0,2015-07-01,VT,2015-07-01 14:07:00,2015-07-01 14:07:00,,,,,,,,,,,,,,,,,,,,2015-07-01 15:23:00,2015-07-01 15:25:00,,2015-07-01 15:43:00,2015-07-01 15:45:00,,2015-07-01 16:00:00,2015-07-01 16:02:00,,2015-07-01 16:21:00,2015-07-01 16:23:00,
201507000000000.0,2015-07-01,VT,2015-07-01 15:07:00,2015-07-01 15:06:00,179.0,,,,,,,,,,,,,,,,,,,2015-07-01 16:23:00,2015-07-01 16:36:00,179.0,2015-07-01 16:43:00,2015-07-01 17:15:00,179.0,2015-07-01 17:00:00,2015-07-01 17:32:00,179.0,2015-07-01 17:21:00,2015-07-01 17:49:00,179.0
201507000000000.0,2015-07-01,VT,2015-07-01 16:07:00,2015-07-01 16:07:00,,,,,,,,,,,,,,,,,,,,2015-07-01 17:23:00,2015-07-01 17:27:00,,2015-07-01 17:43:00,2015-07-01 17:59:00,,2015-07-01 18:00:00,2015-07-01 18:17:00,,2015-07-01 18:21:00,2015-07-01 18:33:00,
201507000000000.0,2015-07-01,VT,2015-07-01 17:07:00,2015-07-01 17:11:00,,,,,,,,,,,,,,,,,,,,2015-07-01 18:23:00,2015-07-01 18:39:00,,2015-07-01 18:43:00,2015-07-01 19:42:00,,2015-07-01 19:00:00,2015-07-01 20:00:00,,2015-07-01 19:21:00,2015-07-01 20:16:00,
201507000000000.0,2015-07-01,VT,2015-07-01 17:33:00,2015-07-01 17:33:00,,,,,,,,2015-07-01 18:23:00,2015-07-01 18:30:00,,,,,,,,,,,2015-07-01 18:56:00,2015-07-01 19:02:00,,2015-07-01 19:16:00,2015-07-01 19:47:00,,2015-07-01 19:33:00,2015-07-01 20:04:00,,2015-07-01 19:52:00,2015-07-01 20:21:00,
201507000000000.0,2015-07-01,VT,2015-07-01 18:07:00,2015-07-01 18:08:00,,,,,,,,,,,,,,,,,,,,2015-07-01 19:23:00,2015-07-01 19:47:00,,2015-07-01 19:43:00,2015-07-01 20:14:00,,2015-07-01 20:00:00,2015-07-01 20:35:00,,2015-07-01 20:21:00,2015-07-01 20:54:00,
201507000000000.0,2015-07-01,VT,2015-07-01 18:33:00,,169.0,,,,,,,2015-07-01 19:23:00,,169.0,,,,,,,,,,2015-07-01 19:57:00,,169.0,2015-07-01 20:17:00,,169.0,2015-07-01 20:34:00,,169.0,2015-07-01 20:53:00,,169.0
201507000000000.0,2015-07-01,VT,2015-07-01 19:07:00,2015-07-01 19:07:00,,,,,,,,,,,2015-07-01 20:03:00,2015-07-01 20:11:00,,,,,,,,2015-07-01 20:27:00,2015-07-01 20:57:00,,,,,2015-07-01 21:00:00,2015-07-01 21:32:00,,2015-07-01 21:21:00,2015-07-01 21:49:00,
201507000000000.0,2015-07-01,VT,2015-07-01 20:07:00,2015-07-01 20:34:00,,,,,2015-07-01 20:35:00,2015-07-01 21:09:00,,,,,2015-07-01 21:03:00,2015-07-01 21:38:00,,,,,,,,2015-07-01 21:27:00,2015-07-01 22:01:00,,2015-07-01 21:48:00,2015-07-01 22:20:00,,2015-07-01 22:05:00,2015-07-01 22:37:00,,2015-07-01 22:25:00,2015-07-01 22:52:00,
201507000000000.0,2015-07-01,VT,2015-07-01 21:07:00,2015-07-01 21:12:00,145.0,,,,2015-07-01 21:39:00,2015-07-01 22:12:00,145.0,,,,2015-07-01 22:08:00,2015-07-01 22:42:00,145.0,,,,,,,,,,2015-07-01 22:57:00,2015-07-01 23:31:00,145.0,2015-07-01 23:15:00,2015-07-01 23:49:00,145.0,2015-07-01 23:39:00,2015-07-01 00:06:00,145.0
201507000000000.0,2015-07-02,VT,2015-07-02 07:07:00,2015-07-02 07:06:00,,,,,,,,,,,,,,,,,,,,2015-07-02 08:23:00,2015-07-02 08:22:00,,2015-07-02 08:43:00,2015-07-02 08:43:00,,2015-07-02 09:00:00,2015-07-02 09:05:00,,2015-07-02 09:21:00,2015-07-02 09:22:00,
201507000000000.0,2015-07-02,VT,2015-07-02 08:07:00,2015-07-02 08:12:00,,,,,2015-07-02 08:38:00,2015-07-02 08:46:00,,,,,,,,,,,,,,2015-07-02 09:27:00,2015-07-02 09:35:00,,,,,2015-07-02 10:00:00,2015-07-02 10:05:00,,2015-07-02 10:21:00,2015-07-02 10:22:00,
201507000000000.0,2015-07-02,VT,2015-07-02 09:07:00,2015-07-02 09:08:00,,,,,,,,,,,,,,,,,,,,2015-07-02 10:23:00,2015-07-02 10:25:00,,2015-07-02 10:43:00,2015-07-02 10:45:00,,2015-07-02 11:00:00,2015-07-02 11:05:00,,2015-07-02 11:21:00,2015-07-02 11:27:00,
