RID,Date,Date,TOC,EUS Scheduled Departure Time,EUS Actual Departure Time,EUS LC Reason,STA Scheduled Arrival Time,STA Actual Arrival Time,STA Scheduled Departure Time,STA Actual Departure Time,STA LC Reason,CRE Scheduled Arrival Time,CRE Actual Arrival Time,CRE Scheduled Departure Time,CRE Actual Departure Time,CRE LC Reason,RUN Scheduled Arrival Time,RUN Actual Arrival Time,RUN Scheduled Departure Time,RUN Actual Departure Time,RUN LC Reason,LIV Scheduled Arrival Time,LIV Actual Arrival Time,LIV LC Reason,MKC Scheduled Arrival Time,MKC Actual Arrival Time,MKC Scheduled Departure Time,MKC Actual Departure Time,MKC LC Reason,RUG Scheduled Arrival Time,RUG Actual Arrival Time,RUG Scheduled Departure Time,RUG Actual Departure Time,RUG LC Reason,NUN Scheduled Arrival Time,NUN Actual Arrival Time,NUN Scheduled Departure Time,NUN Actual Departure Time,NUN LC Reason,TAM Scheduled Arrival Time,TAM Actual Arrival Time,TAM Scheduled Departure Time,TAM Actual Departure Time,TAM LC Reason,LTV Scheduled Arrival Time,LTV Actual Arrival Time,LTV Scheduled Departure Time,LTV Actual Departure Time,LTV LC Reason,WFJ Scheduled Arrival Time,WFJ Actual Arrival Time,WFJ Scheduled Departure Time,WFJ Actual Departure Time,WFJ LC Reason,SOT Scheduled Arrival Time,SOT Actual Arrival Time,SOT Scheduled Departure Time,SOT Actual Departure Time,SOT LC Reason,SPT Scheduled Arrival Time,SPT Actual Arrival Time,SPT Scheduled Departure Time,SPT Actual Departure Time,SPT LC Reason,MAN Scheduled Arrival Time,MAN Actual Arrival Time,MAN Scheduled Departure Time,MAN Actual Departure Time,MAN LC Reason,COV Scheduled Arrival Time,COV Actual Arrival Time,COV Scheduled Departure Time,COV Actual Departure Time,COV LC Reason,MAC Scheduled Arrival Time,MAC Actual Arrival Time,MAC Scheduled Departure Time,MAC Actual Departure Time,MAC LC Reason,WML Scheduled Arrival Time,WML Actual Arrival Time,WML Scheduled Departure Time,WML Actual Departure Time,WML LC Reason,EDG Scheduled Arrival Time,EDG Actual Arrival Time,EDG Scheduled Departure Time,EDG Actual Departure Time,EDG LC Reason,BHI Scheduled Arrival Time,BHI Actual Arrival Time,BHI Scheduled Departure Time,BHI Actual Departure Time,BHI LC Reason,BHM Scheduled Arrival Time,BHM Actual Arrival Time,BHM Scheduled Departure Time,BHM Actual Departure Time,BHM LC Reason,SAD Scheduled Arrival Time,SAD Actual Arrival Time,SAD Scheduled Departure Time,SAD Actual Departure Time,SAD LC Reason,WVH Scheduled Arrival Time,WVH Actual Arrival Time,WVH Scheduled Departure Time,WVH Actual Departure Time,WVH LC Reason,WBQ Scheduled Arrival Time,WBQ Actual Arrival Time,WBQ Scheduled Departure Time,WBQ Actual Departure Time,WBQ LC Reason,LIV Scheduled Departure Time,LIV Actual Departure Time,NMP Scheduled Arrival Time,NMP Actual Arrival Time,NMP Scheduled Departure Time,NMP Actual Departure Time,NMP LC Reason,LPY Scheduled Arrival Time,LPY Actual Arrival Time,LPY Scheduled Departure Time,LPY Actual Departure Time,LPY LC Reason,ATH Scheduled Arrival Time,ATH Actual Arrival Time,ATH Scheduled Departure Time,ATH Actual Departure Time,ATH LC Reason,RGL Scheduled Arrival Time,RGL Actual Arrival Time,RGL Scheduled Departure Time,RGL Actual Departure Time,RGL LC Reason
2.01507E+14,2015-07-01,2015-07-01,VT,0707,0706,,0822,0830,0823,0831,,0841,0850,0843,0852,,0900,0908,0900,0910,,0921,0926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,0807,0807,169,0927,0927,0927,0928,169,,,,,,1000,1014,1000,1015,169,1021,1034,169,0837,0838,0838,0840,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,0907,0907,,1022,1038,1023,1041,,1041,1105,1043,1109,,1100,1128,1100,1130,,1121,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1007,1006,,1122,1122,1123,1124,,1141,1141,1143,1143,,1200,1202,1200,1203,,1221,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1107,1107,,1222,1221,1223,1224,,1241,1242,1243,1243,,1300,1259,1300,1300,,1321,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1207,1207,179,1322,1338,1323,1339,179,1341,1359,1343,1400,179,1400,1415,1400,1417,179,1421,1434,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1307,1307,,1422,1421,1423,1422,,1441,1443,1443,1445,,1500,1500,1500,1506,,1521,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1407,1407,,1522,1523,1523,1525,,1541,1543,1543,1545,,1600,1601,1600,1602,,1621,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1507,1506,179,1622,1633,1623,1636,179,1641,1712,1643,1715,179,1700,1730,1700,1732,179,1721,1749,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01507E+14,2015-07-01,2015-07-01,VT,1607,1607,,1722,1726,1723,1727,,1741,1759,1743,1759,,1800,1816,1800,1817,,1821,1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
