rid,date,toc,glq_scheduled_departure_time,glq_actual_departure_time,glq_lc_reason,stg_scheduled_departure_time,stg_actual_departure_time,stg_lc_reason,bea_scheduled_departure_time,bea_actual_departure_time,bea_lc_reason,dbl_scheduled_departure_time,dbl_actual_departure_time,dbl_lc_reason,pth_scheduled_departure_time,pth_actual_departure_time,pth_lc_reason,dkd_scheduled_departure_time,dkd_actual_departure_time,dkd_lc_reason,pit_scheduled_departure_time,pit_actual_departure_time,pit_lc_reason,bla_scheduled_departure_time,bla_actual_departure_time,bla_lc_reason,kin_scheduled_departure_time,kin_actual_departure_time,kin_lc_reason,avm_scheduled_departure_time,avm_actual_departure_time,avm_lc_reason,inv_scheduled_arrival_time,inv_actual_arrival_time,inv_lc_reason,gle_scheduled_departure_time,gle_actual_departure_time,gle_lc_reason,dlw_scheduled_departure_time,dlw_actual_departure_time,dlw_lc_reason,nwr_scheduled_departure_time,nwr_actual_departure_time,nwr_lc_reason,cag_scheduled_departure_time,cag_actual_departure_time,cag_lc_reason,dee_scheduled_departure_time,dee_actual_departure_time,dee_lc_reason,can_scheduled_departure_time,can_actual_departure_time,can_lc_reason,arb_scheduled_departure_time,arb_actual_departure_time,arb_lc_reason,mts_scheduled_departure_time,mts_actual_departure_time,mts_lc_reason,abd_scheduled_departure_time,abd_actual_departure_time,abd_lc_reason,dyc_scheduled_departure_time,dyc_actual_departure_time,dyc_lc_reason,inr_scheduled_departure_time,inr_actual_departure_time,inr_lc_reason,ins_scheduled_departure_time,ins_actual_departure_time,ins_lc_reason,hnt_scheduled_departure_time,hnt_actual_departure_time,hnt_lc_reason,keh_scheduled_departure_time,keh_actual_departure_time,keh_lc_reason,elg_scheduled_departure_time,elg_actual_departure_time,elg_lc_reason,for_scheduled_departure_time,for_actual_departure_time,for_lc_reason,nrn_scheduled_departure_time,nrn_actual_departure_time,nrn_lc_reason,lbt_scheduled_departure_time,lbt_actual_departure_time,lbt_lc_reason,inv_scheduled_departure_time,inv_actual_departure_time,elg_scheduled_arrival_time,elg_actual_arrival_time,lin_scheduled_departure_time,lin_actual_departure_time,lin_lc_reason,ink_scheduled_departure_time,ink_actual_departure_time,ink_lc_reason,lau_scheduled_departure_time,lau_actual_departure_time,lau_lc_reason,stn_scheduled_departure_time,stn_actual_departure_time,stn_lc_reason,bbg_scheduled_departure_time,bbg_lc_reason,dyc_scheduled_arrival_time,fkk_scheduled_departure_time,fkk_actual_departure_time,fkk_lc_reason,mnc_scheduled_departure_time,mnc_actual_departure_time,ldy_scheduled_departure_time,ldy_actual_departure_time,pln_scheduled_departure_time,pln_actual_departure_time,pln_lc_reason,lnz_scheduled_departure_time,lnz_actual_departure_time,lnz_lc_reason,cro_scheduled_departure_time,cro_actual_departure_time,cro_lc_reason,ing_scheduled_departure_time,ing_actual_departure_time,ing_lc_reason,iva_scheduled_departure_time,iva_actual_departure_time,iva_lc_reason,ktr_scheduled_departure_time,ktr_lc_reason,for_scheduled_arrival_time,for_actual_arrival_time,byf_scheduled_departure_time,mon_scheduled_departure_time,mon_actual_departure_time
201507012308746,2015-07-01,SR,1209,1209.0,120.0,1236.0,1236.0,120.0,1241.0,,120.0,1245.0,1246.0,120.0,1313.0,1326.0,120.0,1329.0,1340.0,120.0,1342.0,1353.0,120.0,1352.0,1403.0,120.0,1428.0,1438.0,120.0,1439.0,1450.0,120.0,1523.0,1527.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012308734,2015-07-01,SR,1010,1009.0,,1037.0,1038.0,,1041.0,,,1046.0,1047.0,,1116.0,1116.0,,1136.0,1136.0,,1149.0,1149.0,,,,,1234.0,1236.0,,1245.0,1248.0,,1328.0,1330.0,,1058.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012308731,2015-07-01,SR,710,709.0,,736.0,737.0,,,,,743.0,744.0,,810.0,811.0,,830.0,832.0,,843.0,845.0,,852.0,856.0,,936.0,939.0,,950.0,952.0,,1027.0,1032.0,,,,,917.0,922.0,,927.0,,,958.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012308636,2015-07-01,SR,1441,1441.0,136.0,1507.0,1514.0,136.0,,,,,,,1540.0,1544.0,136.0,,,,,,,,,,,,,,,,1939.0,2002.0,136.0,,,,,,,,,,,,,1602.0,1611.0,136.0,1614.0,1628.0,136.0,1621.0,,136.0,1636.0,1653.0,136.0,1726.0,1746.0,136.0,1735.0,1802.0,136.0,1751.0,1816.0,136.0,1803.0,1829.0,136.0,1820.0,1846.0,136.0,1834.0,1900.0,136.0,1856.0,1921.0,136.0,1910.0,1934.0,136.0,1921.0,1947.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012311067,2015-07-01,SR,1507,1506.0,,1537.0,1538.0,,1541.0,,,1546.0,1550.0,,1617.0,1620.0,,1634.0,1640.0,,1647.0,1653.0,,1656.0,1703.0,,1733.0,1738.0,,1744.0,1750.0,,1821.0,1828.0,,,,,,,,1728.0,,,1752.0,1802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012308748,2015-07-01,SR,1811,1810.0,,1842.0,1842.0,,1846.0,,,1850.0,1851.0,,1921.0,1921.0,,1938.0,1939.0,,1951.0,1952.0,,2001.0,2002.0,,2039.0,2040.0,,2051.0,2051.0,,2126.0,2125.0,,1902.0,1903.0,,2024.0,2025.0,,2034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.0,1832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507022341448,2015-07-02,SR,1010,1009.0,,1037.0,1037.0,,1041.0,,,1046.0,1046.0,,1116.0,1116.0,,1136.0,1145.0,,1149.0,1158.0,,,,,1234.0,1241.0,,1245.0,1253.0,,1328.0,1331.0,,1058.0,1057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507022341445,2015-07-02,SR,710,709.0,,736.0,739.0,,,,,743.0,746.0,,810.0,812.0,,830.0,832.0,,843.0,845.0,,852.0,856.0,,936.0,938.0,,950.0,951.0,,1027.0,1029.0,,,,,917.0,922.0,,927.0,,,958.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507022341460,2015-07-02,SR,1209,1209.0,,1236.0,1236.0,,1241.0,,,1245.0,1245.0,,1313.0,1313.0,,1329.0,1330.0,,1342.0,1344.0,,1352.0,1354.0,,1428.0,1436.0,,1439.0,1448.0,,1523.0,1529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507022341350,2015-07-02,SR,1441,1441.0,157.0,1507.0,1509.0,157.0,,,,,,,1540.0,1540.0,157.0,,,,,,,,,,,,,,,,1939.0,,157.0,,,,,,,,,,,,,1602.0,1602.0,157.0,1614.0,1614.0,157.0,1621.0,1621.0,157.0,1636.0,1637.0,157.0,1726.0,1729.0,157.0,,,157.0,,,,1803.0,,157.0,1820.0,,157.0,1834.0,,157.0,1856.0,,157.0,1910.0,,157.0,1921.0,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
