rid,date,toc,liv_scheduled_departure_time,liv_actual_departure_time,liv_lc_reason,run_scheduled_departure_time,run_actual_departure_time,run_lc_reason,eus_scheduled_arrival_time,eus_actual_arrival_time,eus_lc_reason,sta_scheduled_departure_time,sta_actual_departure_time,sta_lc_reason,ltv_scheduled_departure_time,ltv_actual_departure_time,ltv_lc_reason,tam_scheduled_departure_time,tam_actual_departure_time,tam_lc_reason,cre_scheduled_departure_time,cre_actual_departure_time,cre_lc_reason,mkc_scheduled_departure_time,mkc_actual_departure_time,mkc_lc_reason,wfj_scheduled_departure_time,wfj_actual_departure_time,wfj_lc_reason,nun_scheduled_departure_time,nun_actual_departure_time,nun_lc_reason,rug_scheduled_departure_time,rug_actual_departure_time,rug_lc_reason,man_scheduled_departure_time,man_actual_departure_time,man_lc_reason,spt_scheduled_departure_time,spt_actual_departure_time,spt_lc_reason,sot_scheduled_departure_time,sot_actual_departure_time,sot_lc_reason,rgl_scheduled_arrival_time,rgl_lc_reason,wml_scheduled_departure_time,wml_actual_departure_time,wml_lc_reason,bhi_scheduled_departure_time,bhi_actual_departure_time,bhi_lc_reason,cov_scheduled_departure_time,cov_actual_departure_time,cov_lc_reason,wbq_scheduled_departure_time,wbq_actual_departure_time,wbq_lc_reason,mkc_scheduled_arrival_time,mac_scheduled_departure_time,mac_actual_departure_time,mac_lc_reason,bhm_scheduled_departure_time,bhm_actual_departure_time,bhm_lc_reason,rug_scheduled_arrival_time,rug_actual_arrival_time,wvh_scheduled_departure_time,wvh_actual_departure_time,wvh_lc_reason,sad_scheduled_departure_time,sad_actual_departure_time,sad_lc_reason,nmp_lc_reason,wsf_scheduled_departure_time,wsf_actual_departure_time,acb_lc_reason
201507012292693,2015-07-01,VT,700.0,700.0,,715.0,716.0,,904.0,909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012292693,2015-07-01,VT,700.0,700.0,,715.0,716.0,,904.0,909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012303381,2015-07-01,VT,605.0,605.0,,621.0,622.0,,823.0,827.0,,654.0,658.0,,708.0,712.0,,715.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012291894,2015-07-01,VT,947.0,947.0,169.0,1003.0,1005.0,169.0,1159.0,1215.0,169.0,1042.0,1052.0,169.0,,,,,,,1022.0,1030.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012292719,2015-07-01,VT,747.0,747.0,,803.0,805.0,,1001.0,1002.0,,843.0,843.0,,,,,,,,823.0,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012291868,2015-07-01,VT,847.0,849.0,,903.0,907.0,,1105.0,1107.0,,944.0,947.0,,,,,,,,925.0,926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012291939,2015-07-01,VT,1147.0,1159.0,151.0,1203.0,1216.0,151.0,1400.0,1407.0,151.0,1242.0,1255.0,151.0,,,,,,,1222.0,1236.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012291915,2015-07-01,VT,1047.0,1049.0,,1103.0,1106.0,,1259.0,1304.0,,1142.0,1148.0,,,,,,,,1122.0,1128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012291961,2015-07-01,VT,1247.0,1247.0,,1303.0,1303.0,,1505.0,1503.0,,1344.0,1344.0,,,,,,,,1325.0,1325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012291989,2015-07-01,VT,1347.0,1347.0,,1403.0,1404.0,,1559.0,1607.0,,1442.0,1442.0,,,,,,,,1422.0,1422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507012292011,2015-07-01,VT,1447.0,1447.0,,1503.0,1504.0,,1659.0,1707.0,,1542.0,1548.0,,,,,,,,1522.0,1526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
