RID,Date,TOC,EUS Scheduled Departure Time,EUS Actual Departure Time,EUS LC Reason,WFJ Scheduled Arrival Time,WFJ Actual Arrival Time,WFJ Scheduled Departure Time,WFJ Actual Departure Time,WFJ LC Reason,MKC Scheduled Arrival Time,MKC Actual Arrival Time,MKC Scheduled Departure Time,MKC Actual Departure Time,MKC LC Reason,TAM Scheduled Arrival Time,TAM Actual Arrival Time,TAM Scheduled Departure Time,TAM Actual Departure Time,TAM LC Reason,LTV Scheduled Arrival Time,LTV Actual Arrival Time,LTV Scheduled Departure Time,LTV Actual Departure Time,LTV LC Reason,STA Scheduled Arrival Time,STA Actual Arrival Time,STA Scheduled Departure Time,STA Actual Departure Time,STA LC Reason,CRE Scheduled Arrival Time,CRE Actual Arrival Time,CRE Scheduled Departure Time,CRE Actual Departure Time,CRE LC Reason,RUN Scheduled Arrival Time,RUN Actual Arrival Time,RUN Scheduled Departure Time,RUN Actual Departure Time,RUN LC Reason,LIV Scheduled Arrival Time,LIV Actual Arrival Time,LIV LC Reason,EUS Delay Minutes,EUS Delay Classification,MKC Delay Minutes,MKC Delay Classification,CRE Delay Minutes,CRE Delay Classification,LIV Delay Minutes,LIV Delay Classification
202306017633596,2023-06-01,VT,2023-06-01 07:43:00,2023-06-01 07:56:00,574.0,,,,,,2023-06-01 08:14:00,2023-06-01 08:29:00,2023-06-01 08:15:00,2023-06-01 08:31:00,574.0,,,,,,,,,,,,,,,,2023-06-01 09:23:00,2023-06-01 09:50:00,2023-06-01 09:26:00,2023-06-01 09:52:00,574.0,2023-06-01 09:43:00,2023-06-01 10:11:00,2023-06-01 09:44:00,2023-06-01 10:13:00,574.0,2023-06-01 10:04:00,2023-06-01 10:31:00,574.0,13.0,Mild Delay,16.0,Moderate Delay,26.0,Moderate Delay,27.0,Moderate Delay
202306017633599,2023-06-01,VT,2023-06-01 08:43:00,2023-06-01 08:54:00,,,,,,,2023-06-01 09:14:00,2023-06-01 09:25:00,2023-06-01 09:15:00,2023-06-01 09:28:00,,,,,,,,,,,,,,,,,2023-06-01 10:24:00,2023-06-01 10:30:00,2023-06-01 10:26:00,2023-06-01 10:33:00,,2023-06-01 10:43:00,2023-06-01 10:48:00,2023-06-01 10:44:00,2023-06-01 10:50:00,,2023-06-01 11:04:00,2023-06-01 11:06:00,,11.0,Mild Delay,13.0,Mild Delay,7.0,Mild Delay,2.0,Not Delayed
202306017633602,2023-06-01,VT,2023-06-01 09:43:00,2023-06-01 09:44:00,,,,,,,2023-06-01 10:14:00,2023-06-01 10:14:00,2023-06-01 10:15:00,2023-06-01 10:16:00,,,,,,,,,,,,,,,,,2023-06-01 11:24:00,2023-06-01 11:26:00,2023-06-01 11:26:00,2023-06-01 11:28:00,,2023-06-01 11:43:00,2023-06-01 11:43:00,2023-06-01 11:44:00,2023-06-01 11:46:00,,2023-06-01 12:04:00,2023-06-01 12:03:00,,1.0,Not Delayed,1.0,Not Delayed,2.0,Not Delayed,-1.0,Not Delayed
202306017633605,2023-06-01,VT,2023-06-01 10:43:00,2023-06-01 10:42:00,,,,,,,2023-06-01 11:14:00,2023-06-01 11:14:00,2023-06-01 11:15:00,2023-06-01 11:17:00,,,,,,,,,,,,,,,,,2023-06-01 12:24:00,2023-06-01 12:25:00,2023-06-01 12:26:00,2023-06-01 12:27:00,,2023-06-01 12:43:00,2023-06-01 12:42:00,2023-06-01 12:44:00,2023-06-01 12:44:00,,2023-06-01 13:04:00,2023-06-01 13:01:00,,-1.0,Not Delayed,2.0,Not Delayed,1.0,Not Delayed,-3.0,Not Delayed
202306017633608,2023-06-01,VT,2023-06-01 11:43:00,2023-06-01 11:42:00,,,,,,,2023-06-01 12:14:00,2023-06-01 12:15:00,2023-06-01 12:15:00,2023-06-01 12:17:00,,,,,,,,,,,,,,,,,2023-06-01 13:24:00,2023-06-01 13:24:00,2023-06-01 13:26:00,2023-06-01 13:26:00,,2023-06-01 13:43:00,2023-06-01 13:42:00,2023-06-01 13:44:00,2023-06-01 13:45:00,,2023-06-01 14:04:00,2023-06-01 14:01:00,,-1.0,Not Delayed,2.0,Not Delayed,0.0,Not Delayed,-3.0,Not Delayed
202306017633610,2023-06-01,VT,2023-06-01 12:43:00,2023-06-01 12:42:00,,,,,,,2023-06-01 13:14:00,2023-06-01 13:16:00,2023-06-01 13:15:00,2023-06-01 13:19:00,,,,,,,,,,,,,,,,,2023-06-01 14:23:00,2023-06-01 14:27:00,2023-06-01 14:26:00,2023-06-01 14:31:00,,2023-06-01 14:43:00,2023-06-01 14:46:00,2023-06-01 14:44:00,2023-06-01 14:49:00,,2023-06-01 15:04:00,2023-06-01 15:07:00,,-1.0,Not Delayed,4.0,Not Delayed,5.0,Mild Delay,3.0,Not Delayed
202306017633613,2023-06-01,VT,2023-06-01 13:43:00,2023-06-01 13:45:00,,,,,,,2023-06-01 14:14:00,2023-06-01 14:17:00,2023-06-01 14:15:00,2023-06-01 14:19:00,,,,,,,,,,,,,,,,,2023-06-01 15:23:00,2023-06-01 15:27:00,2023-06-01 15:26:00,2023-06-01 15:29:00,,2023-06-01 15:43:00,2023-06-01 15:45:00,2023-06-01 15:44:00,2023-06-01 15:48:00,,2023-06-01 16:04:00,2023-06-01 16:04:00,,2.0,Not Delayed,4.0,Not Delayed,3.0,Not Delayed,0.0,Not Delayed
202306017633616,2023-06-01,VT,2023-06-01 14:43:00,2023-06-01 14:43:00,,,,,,,2023-06-01 15:14:00,2023-06-01 15:13:00,2023-06-01 15:15:00,2023-06-01 15:15:00,,,,,,,,,,,,,,,,,2023-06-01 16:23:00,2023-06-01 16:25:00,2023-06-01 16:26:00,2023-06-01 16:28:00,,2023-06-01 16:43:00,2023-06-01 16:44:00,2023-06-01 16:44:00,2023-06-01 16:47:00,,2023-06-01 17:04:00,2023-06-01 17:03:00,,0.0,Not Delayed,0.0,Not Delayed,2.0,Not Delayed,-1.0,Not Delayed
202306017633619,2023-06-01,VT,2023-06-01 15:43:00,2023-06-01 15:42:00,,,,,,,2023-06-01 16:14:00,2023-06-01 16:15:00,2023-06-01 16:15:00,2023-06-01 16:17:00,,,,,,,,,,,,,,,,,2023-06-01 17:24:00,2023-06-01 17:25:00,2023-06-01 17:26:00,2023-06-01 17:28:00,,2023-06-01 17:43:00,2023-06-01 17:44:00,2023-06-01 17:44:00,2023-06-01 17:45:00,,2023-06-01 18:04:00,2023-06-01 18:04:00,,-1.0,Not Delayed,2.0,Not Delayed,2.0,Not Delayed,0.0,Not Delayed
202306017633622,2023-06-01,VT,2023-06-01 16:43:00,2023-06-01 16:53:00,,,,,,,2023-06-01 17:14:00,2023-06-01 17:26:00,2023-06-01 17:15:00,2023-06-01 17:28:00,,,,,,,,,,,,,,,,,2023-06-01 18:23:00,2023-06-01 18:34:00,2023-06-01 18:26:00,2023-06-01 18:36:00,,2023-06-01 18:43:00,2023-06-01 18:51:00,2023-06-01 18:44:00,2023-06-01 18:53:00,,2023-06-01 19:04:00,2023-06-01 19:09:00,,10.0,Mild Delay,13.0,Mild Delay,10.0,Mild Delay,5.0,Mild Delay
