RID,Date,TOC,EUS Scheduled Departure Time,EUS Actual Departure Time,EUS LC Reason,WFJ Scheduled Arrival Time,WFJ Actual Arrival Time,WFJ Scheduled Departure Time,WFJ Actual Departure Time,WFJ LC Reason,MKC Scheduled Arrival Time,MKC Actual Arrival Time,MKC Scheduled Departure Time,MKC Actual Departure Time,MKC LC Reason,TAM Scheduled Arrival Time,TAM Actual Arrival Time,TAM Scheduled Departure Time,TAM Actual Departure Time,TAM LC Reason,LTV Scheduled Arrival Time,LTV Actual Arrival Time,LTV Scheduled Departure Time,LTV Actual Departure Time,LTV LC Reason,STA Scheduled Arrival Time,STA Actual Arrival Time,STA Scheduled Departure Time,STA Actual Departure Time,STA LC Reason,CRE Scheduled Arrival Time,CRE Actual Arrival Time,CRE Scheduled Departure Time,CRE Actual Departure Time,CRE LC Reason,RUN Scheduled Arrival Time,RUN Actual Arrival Time,RUN Scheduled Departure Time,RUN Actual Departure Time,RUN LC Reason,LIV Scheduled Arrival Time,LIV Actual Arrival Time,LIV LC Reason
202306017633594,2023-06-01,VT,0636,,918,,,0651,,918,0711,,0712,,918,,,,,,,,,,,0804,,0805,,918,0824,,0826,,918,0843,,0844,,918,0904,,918
202306017633596,2023-06-01,VT,0743,0756,574,,,,,,0814,0829,0815,0831,574,,,,,,,,,,,,,,,,0923,0950,0926,0952,574,0943,1011,0944,1013,574,1004,1031,574
202306017633599,2023-06-01,VT,0843,0854,,,,,,,0914,0925,0915,0928,,,,,,,,,,,,,,,,,1024,1030,1026,1033,,1043,1048,1044,1050,,1104,1106,
202306017633602,2023-06-01,VT,0943,0944,,,,,,,1014,1014,1015,1016,,,,,,,,,,,,,,,,,1124,1126,1126,1128,,1143,1143,1144,1146,,1204,1203,
202306017633605,2023-06-01,VT,1043,1042,,,,,,,1114,1114,1115,1117,,,,,,,,,,,,,,,,,1224,1225,1226,1227,,1243,1242,1244,1244,,1304,1301,
202306017633608,2023-06-01,VT,1143,1142,,,,,,,1214,1215,1215,1217,,,,,,,,,,,,,,,,,1324,1324,1326,1326,,1343,1342,1344,1345,,1404,1401,
202306017633610,2023-06-01,VT,1243,1242,,,,,,,1314,1316,1315,1319,,,,,,,,,,,,,,,,,1423,1427,1426,1431,,1443,1446,1444,1449,,1504,1507,
202306017633613,2023-06-01,VT,1343,1345,,,,,,,1414,1417,1415,1419,,,,,,,,,,,,,,,,,1523,1527,1526,1529,,1543,1545,1544,1548,,1604,1604,
202306017633616,2023-06-01,VT,1443,1443,,,,,,,1514,1513,1515,1515,,,,,,,,,,,,,,,,,1623,1625,1626,1628,,1643,1644,1644,1647,,1704,1703,
202306017633619,2023-06-01,VT,1543,1542,,,,,,,1614,1615,1615,1617,,,,,,,,,,,,,,,,,1724,1725,1726,1728,,1743,1744,1744,1745,,1804,1804,
202306017633622,2023-06-01,VT,1643,1653,,,,,,,1714,1726,1715,1728,,,,,,,,,,,,,,,,,1823,1834,1826,1836,,1843,1851,1844,1853,,1904,1909,
202306017633625,2023-06-01,VT,1743,1743,,,,,,,,,1815,1817,,,,,,,,,,,,,,,,,1923,1923,1926,1926,,1943,1941,1944,1943,,2004,2003,
202306017633628,2023-06-01,VT,1843,1842,,,,,,,,,1915,1915,,,,,,,,,,,,,,,,,2023,2018,2026,2028,,2043,2043,2044,2045,,2105,2101,
202306017633631,2023-06-01,VT,1907,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,2043,2059,2045,2101,,2103,2116,2104,2118,,2122,2134,
202306017633632,2023-06-01,VT,1943,1942,,,,,,,2014,2012,2015,2015,,,,,,,,,,,,,,,,,2124,2129,2126,2131,,2143,2146,2144,2149,,2204,2205,
202306017633636,2023-06-01,VT,2043,2042,,,,,,,2114,2112,2115,2115,,,,,,,,,,,,,,,,,2224,2223,2226,2226,,2243,2240,2244,2243,,2304,2300,
202306028333020,2023-06-02,VT,0743,0756,575,,,,,,0814,0834,0815,0837,575,,,,,,,,,,,0907,0922,0908,0924,575,0927,0941,0928,0943,575,0945,0959,0947,1001,575,1006,1019,575
202306028333021,2023-06-02,VT,0843,0843,,,,,,,0914,0913,0915,0916,,,,,,,,,,,,1007,1003,1008,1007,,1026,1025,1027,1027,,1044,1042,1046,1046,,1108,1102,
202306028333022,2023-06-02,VT,0943,0955,648,,,,,,1014,1025,1015,1028,648,,,,,,,,,,,1108,1114,1109,1117,648,1127,1135,1128,1137,648,1145,1203,1147,1205,648,1208,1222,648
202306028333023,2023-06-02,VT,1043,1043,,,,,,,1114,1113,1115,1115,,,,,,,,,,,,1207,1202,1209,1208,,1227,1226,1228,1233,,1245,1248,1247,1250,,1308,1307,
202306028333024,2023-06-02,VT,1143,1143,,,,,,,1214,1213,1215,1215,,,,,,,,,,,,1307,1307,1308,1308,,1327,1326,1328,1330,,1345,1345,1347,1348,,1408,1403,
202306028333025,2023-06-02,VT,1243,1246,,,,,,,1314,1316,1315,1318,,,,,,,,,,,,1407,1406,1408,1409,,1426,1426,1427,1428,,1444,1443,1446,1446,,1508,1501,
202306028333026,2023-06-02,VT,1343,1344,,,,,,,1414,1414,1415,1415,,,,,,,,,,,,1507,1502,1508,1507,,1526,1524,1527,1528,,1544,1543,1546,1546,,1608,1601,
202306028333027,2023-06-02,VT,1443,1443,,,,,,,1514,1513,1515,1515,,,,,,,,,,,,1607,1605,1608,1607,,1626,1626,1627,1630,,1644,1645,1646,1648,,1708,1704,
202306028333028,2023-06-02,VT,1543,1544,,,,,,,1614,1614,1615,1616,,,,,,,,,,,,1707,1704,1709,1708,,1726,1725,1728,1728,,1745,1743,1747,1747,,1808,1802,
202306047633598,2023-06-04,VT,0820,0819,,,,0836,0837,,0911,0908,0912,0912,,1000,0958,1001,1001,,1007,1006,1008,1009,,1023,1022,1024,1023,,1042,1040,1043,1043,,1100,1059,1102,1102,,1118,1119,
202306047633601,2023-06-04,VT,0919,0918,,,,0936,0936,,1007,1004,1008,1008,,1100,1055,1101,1102,,1107,1107,1108,1109,,1123,1121,1124,1123,,1142,1140,1143,1143,,1200,1201,1202,1205,,1218,1222,
202306047633604,2023-06-04,VT,1019,1019,,,,1036,1036,,1107,1106,1109,1109,,,,,,,,,,,,1219,1216,1221,1220,,1239,1237,1243,1243,,1300,1258,1302,1302,,1318,1321,
202306047633607,2023-06-04,VT,1119,1119,,,,1136,1136,,1209,1207,1210,1210,,,,,,,,,,,,1305,1304,1306,1306,,1324,1323,1325,1325,,1342,1341,1344,1343,,1404,1402,
202306047633612,2023-06-04,VT,1242,1242,,,,,,,1314,1317,1315,1320,,,,,,,,,,,,,,,,,1423,1429,1426,1432,,1443,1448,1444,1450,,1504,1507,
202306047633615,2023-06-04,VT,1342,1342,,,,,,,1414,1417,1415,1419,,,,,,,,,,,,,,,,,1523,1528,1526,1530,,1543,1545,1544,1548,,1604,1604,
202306047633618,2023-06-04,VT,1442,1442,,,,,,,1514,1519,1515,1522,,,,,,,,,,,,,,,,,1623,1630,1626,1632,,1643,1648,1644,1651,,1704,1709,
202306047633621,2023-06-04,VT,1542,1542,,,,,,,1614,1619,1615,1621,,,,,,,,,,,,,,,,,1723,1721,1726,1726,,1743,1741,1744,1744,,1804,1759,
202306047633624,2023-06-04,VT,1642,1642,,,,,,,1714,1714,1715,1716,,,,,,,,,,,,,,,,,1823,1825,1826,1827,,1843,1842,1844,1844,,1904,1904,
202306047633627,2023-06-04,VT,1742,1745,,,,,,,1814,1815,1815,1817,,,,,,,,,,,,,,,,,1923,1918,1926,1926,,1943,1941,1944,1943,,2004,1959,
202306047633630,2023-06-04,VT,1842,1842,,,,,,,1914,1921,1915,1924,,,,,,,,,,,,,,,,,2023,2029,2026,2031,,2043,2046,2044,2048,,2104,2104,
202306047633634,2023-06-04,VT,1942,1941,,,,,,,2014,2015,2015,2017,,,,,,,,,,,,,,,,,2123,2128,2126,2131,,2143,2145,2144,2147,,2204,2202,
202306047633637,2023-06-04,VT,2039,2040,,,,,,,2122,2119,2124,2124,,2202,2157,2203,2203,,2209,2208,2210,2210,,2224,2223,2225,2224,,2243,2242,2245,2245,,2302,2303,2304,2305,,2328,2325,
202306047633639,2023-06-04,VT,2121,2121,,,,,,,,,,,,,,,,,,,,,,2324,2324,2325,2326,,2345,2346,2348,2350,,0006,0006,0007,0007,,0029,0023,
202306057633594,2023-06-05,VT,0636,0635,,,,0651,0651,,0711,0709,0712,0712,,,,,,,,,,,,0804,0804,0805,0805,,0824,0823,0826,0826,,0843,0843,0844,0845,,0904,0902,
202306057633596,2023-06-05,VT,0743,0744,,,,,,,0814,0818,0815,0821,,,,,,,,,,,,,,,,,0923,0941,0926,0944,,0943,1000,0944,1002,,1004,1019,
202306057633599,2023-06-05,VT,0843,0844,895,,,,,,0914,0928,0915,0930,895,,,,,,,,,,,,,,,,1024,1050,1026,1053,895,1043,1110,1044,1113,895,1104,1136,895
202306057633602,2023-06-05,VT,0943,0955,811,,,,,,1014,1028,1015,1031,811,,,,,,,,,,,,,,,,1124,1153,1126,1157,811,1143,1214,1144,1216,811,1204,1232,811
202306057633605,2023-06-05,VT,1043,1042,811,,,,,,1114,1121,1115,1125,811,,,,,,,,,,,,,,,,1224,1259,1226,1301,811,1243,1317,1244,1319,811,1304,1336,811
202306057633608,2023-06-05,VT,1143,1143,811,,,,,,1214,1216,1215,1218,811,,,,,,,,,,,,,,,,1324,1343,1326,1346,811,1343,1402,1344,1404,811,1404,1422,811
