Feature,F_score,p_value
surface_pressure,1614.840999434268,0.0
relative_humidity_2m,557.9448124999678,0.0
snow_depth,277.0850590259051,9.217916564639751e-180
wind_gusts_10m,273.4214954740403,2.2158111870672584e-177
snowfall,233.07322673663177,3.6895778185927754e-151
soil_moisture_0_to_7cm,224.74800236596786,9.488122951140265e-146
rain,194.939032544666,2.2270350504073964e-126
temperature_2m,56.52899058627041,1.5785185476901362e-36
cloud_cover,21.48209266835896,6.598149171344372e-14
wind_direction_10m,2.002830450201251,0.11119887692427018
