feature,mutual_info_score
is_day,0.10422198782137237
toc,0.03672888726499601
route,0.0312725864615393
direction,0.028002690478613923
station,0.02383301039135577
temperature_2m,0.019983315014622693
hour,0.018761912636863665
is_first_station,0.016357320694694755
day,0.01600833754266029
cloud_cover,0.014668948711334062
month,0.012273608170954242
surface_pressure,0.009997842037520188
relative_humidity_2m,0.008644708490123776
wind_direction_10m,0.003932192021102843
is_terminus,0.003644310459361755
soil_moisture_0_to_7cm,0.0028151449279747442
wind_gusts_10m,0.0014825966695937165
snow_depth,0.0012879716673541708
rain,0.0010092379447326216
snowfall,0.0004537162171809328
