Feature,F_score,p_value
relative_humidity_2m,821.248987754361,0.0
snow_depth,606.2817480369088,0.0
snowfall,441.85357500430007,4.637819170781237e-287
dew_point_2m,415.29591424392413,8.880293371366695e-270
rain,339.92964535410323,9.743448981827899e-221
soil_temperature_0_to_7cm,300.1780191174187,7.108912685485166e-195
temperature_2m,289.3360294908088,8.040692608959278e-188
apparent_temperature,279.31648598431354,2.651563786885266e-181
surface_pressure,83.87812104852864,2.910274005339944e-54
wind_speed_10m,83.36293032180554,6.283528854636145e-54
wind_direction_10m,70.99400060840551,6.61953590496943e-46
soil_moisture_0_to_7cm,45.19132080263589,3.4052307140834914e-29
wind_gusts_10m,37.64766015119523,2.5540413244898223e-24
cloud_cover,36.33812124750811,1.789539893737607e-23
