Feature,F_score,p_value
surface_pressure,698.17250914535,0.0
snow_depth,492.55857164225665,1.123e-319
soil_moisture_0_to_7cm,483.29691474830474,1.15725400406e-313
relative_humidity_2m,160.88125296129076,3.064715792938889e-104
temperature_2m,89.6057979078269,5.75044617189675e-58
apparent_temperature,81.9990963494808,4.93813459509113e-53
snowfall,77.68944946023362,3.0773960694952087e-50
rain,68.7181651921243,2.012277373953268e-44
soil_temperature_0_to_7cm,64.61199249564828,9.212761213593864e-42
dew_point_2m,27.724774513372868,6.417189351505664e-18
wind_speed_10m,24.4051546583557,8.761257710435291e-16
cloud_cover,20.42512733495675,3.1437908868879354e-13
wind_gusts_10m,15.903451068418281,2.4566606781629324e-10
wind_direction_10m,7.843916315106467,3.1290782362495454e-05
