feature,mutual_info_score
is_day,0.08840052700796486
direction,0.0725817767891781
is_first_station,0.027601727315966773
station,0.020196146844102758
hour,0.01647096157171668
cloud_cover,0.015599961492207992
apparent_temperature,0.013325022347092652
surface_pressure,0.01300661065648101
day,0.012598537258110332
relative_humidity_2m,0.012249860446606808
soil_temperature_0_to_7cm,0.011963699548591222
temperature_2m,0.011525336271005049
dew_point_2m,0.01056992650315891
month,0.00973803030773368
soil_moisture_0_to_7cm,0.005139704875499307
is_terminus,0.0035015868694083796
wind_direction_10m,0.0030611065848160646
wind_speed_10m,0.0018086525857172742
snow_depth,0.0016422481656477306
rain,0.0011841064695516934
wind_gusts_10m,0.0010628510843506689
toc,0.00034076369106927906
snowfall,0.0
