Feature,F_score,p_value
surface_pressure,2212.9137863965893,0.0
soil_moisture_0_to_7cm,1195.4721717533712,0.0
relative_humidity_2m,236.3696576868269,5.063583199716537e-153
snow_depth,218.85494045692298,1.1132045064807275e-141
snowfall,137.48645255360486,5.8501717701443434e-89
rain,56.429940200014435,1.897705600230385e-36
temperature_2m,39.41555668685747,1.883018168699734e-25
wind_direction_10m,13.485547194671852,8.547993764153181e-09
cloud_cover,11.919775361149584,8.435938660200656e-08
wind_speed_10m,2.3178658255104123,0.0733960120695333
dew_point_2m,0.9454993430842152,0.41752967284371567
