Feature,F_score,p_value
surface_pressure,1734.8207890651836,0.0
relative_humidity_2m,376.9346509850822,2.3202571684797066e-244
soil_moisture_0_to_7cm,280.6284221020903,6.641069252906794e-182
snow_depth,178.94089399595723,6.42535043854702e-116
wind_gusts_10m,173.1964164694475,3.4362555164708766e-112
rain,126.72161878434311,4.9695353220648644e-82
snowfall,114.43598923508405,4.650459764215099e-74
temperature_2m,24.606997638553207,6.513342813453596e-16
dew_point_2m,15.88582655866604,2.523431284117115e-10
wind_direction_10m,14.641022589105871,1.5696024171275217e-09
apparent_temperature,12.091601128350682,6.557808184589498e-08
wind_speed_10m,10.882314968779419,3.826403455956821e-07
cloud_cover,5.279696777965887,0.0012236928762788246
soil_temperature_0_to_7cm,2.5012097988435515,0.05746747819404878
