elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
AAV,50720,28M 1440y,492439.8,168204.2,-0.672394,51.405342,SU9243968204,0
AAV,50820,28M 1540y,492353.6,168236.7,-0.673624,51.405648,SU9235368236,2
AAV,50930,28M 1650y,492257.1,168268.3,-0.675003,51.405948,SU9225768268,2
AAV,51040,29M 0000y,492159.7,168297.2,-0.676395,51.406223,SU9215968297,1
AAV,51150,29M 0110y,492061.2,168322.1,-0.677805,51.406464,SU9206168322,1
AAV,51260,29M 0220y,491957.0,168329.3,-0.6793,51.406545,SU9195768329,14
AAV,51370,29M 0330y,491860.9,168288.0,-0.680693,51.40619,SU9186068288,14
AAV,51480,29M 0440y,491794.7,168207.2,-0.681665,51.405474,SU9179468207,14
AAV,51590,29M 0550y,491763.2,168097.3,-0.682146,51.404491,SU9176368097,55
AAV,51700,29M 0660y,491743.2,167984.6,-0.682463,51.403481,SU9174367984,55
AAV,51810,29M 0770y,491732.5,167870.5,-0.682646,51.402457,SU9173267870,55
AAV,51920,29M 0880y,491728.9,167756.0,-0.682727,51.401429,SU9172867756,2
AAV,52030,29M 0990y,491733.2,167654.9,-0.682692,51.400519,SU9173367654,2
AAV,52140,29M 1100y,491741.6,167554.0,-0.682597,51.399611,SU9174167554,2
AAV,52250,29M 1210y,491755.9,167453.8,-0.682416,51.398708,SU9175567453,2
AAV,52360,29M 1320y,491777.2,167354.8,-0.682136,51.397815,SU9177767354,2
AAV,52470,29M 1430y,491803.5,167255.9,-0.681785,51.396921,SU9180367255,7
AAV,52580,29M 1540y,491829.8,167157.0,-0.681432,51.396028,SU9182967157,7
AAV,52690,29M 1650y,491856.1,167058.1,-0.68108,51.395135,SU9185667058,7
AAV,52800,30M 0000y,491882.4,166959.2,-0.680727,51.394241,SU9188266959,7
AAV,52910,30M 0110y,491907.4,166863.0,-0.680393,51.393373,SU9190766863,-3
AAV,53020,30M 0220y,491932.0,166766.8,-0.680064,51.392503,SU9193166766,-3
AAV,53130,30M 0330y,491952.0,166669.5,-0.679802,51.391625,SU9195166669,-3
AAV,53240,30M 0440y,491965.9,166571.1,-0.679627,51.390739,SU9196566571,1
AAV,53350,30M 0550y,491971.9,166470.4,-0.679567,51.389833,SU9197166470,1
